id;title;year;authors;country;site;age;sample_size;soc_cog_aspect;soc_cog_measure;age2;second_aspect;second_measure;corr_test;correlation;significance;exp_vs_obs;long_vs_cross;description;notes
oostenbroek2016comprehensive;Comprehensive Longitudinal Study Challenges the Existence of Neonatal Imitation in Humans;2016;Oostenbroek, Suddendorf, Nielsen,  Redshaw, Kennedy-Costantini, Davis, Clark, Slaughter;Australia;Early Cognitive Development Centre, School of Psychology, University of Queensland;0.09;106;neonatal imitation;Frequency of tongue protrusion;;;;;;;obs;long;neonatal imitation at 1,3,6 and 9 weeks of age;not all children were included at every timepoint? ask authors for more information on the data
oostenbroek2016comprehensive;Comprehensive Longitudinal Study Challenges the Existence of Neonatal Imitation in Humans;2016;Oostenbroek, Suddendorf, Nielsen,  Redshaw, Kennedy-Costantini, Davis, Clark, Slaughter;Australia;Early Cognitive Development Centre, School of Psychology, University of Queensland;0.09;106;neonatal imitation;Frequency of mouth opening;;;;;;;obs;long;neonatal imitation at 1,3,6 and 9 weeks of age;
oostenbroek2016comprehensive;Comprehensive Longitudinal Study Challenges the Existence of Neonatal Imitation in Humans;2016;Oostenbroek, Suddendorf, Nielsen,  Redshaw, Kennedy-Costantini, Davis, Clark, Slaughter;Australia;Early Cognitive Development Centre, School of Psychology, University of Queensland;0.09;106;neonatal imitation;Frequency of happy responses;;;;;;;obs;long;neonatal imitation at 1,3,6 and 9 weeks of age;
oostenbroek2016comprehensive;Comprehensive Longitudinal Study Challenges the Existence of Neonatal Imitation in Humans;2016;Oostenbroek, Suddendorf, Nielsen,  Redshaw, Kennedy-Costantini, Davis, Clark, Slaughter;Australia;Early Cognitive Development Centre, School of Psychology, University of Queensland;0.09;106;neonatal imitation;Frequency of sad responses;;;;;;;obs;long;neonatal imitation at 1,3,6 and 9 weeks of age;
oostenbroek2016comprehensive;Comprehensive Longitudinal Study Challenges the Existence of Neonatal Imitation in Humans;2016;Oostenbroek, Suddendorf, Nielsen,  Redshaw, Kennedy-Costantini, Davis, Clark, Slaughter;Australia;Early Cognitive Development Centre, School of Psychology, University of Queensland;0.09;106;neonatal imitation;Frequency of Index Finger protrusion;;;;;;;obs;long;neonatal imitation at 1,3,6 and 9 weeks of age;
oostenbroek2016comprehensive;Comprehensive Longitudinal Study Challenges the Existence of Neonatal Imitation in Humans;2016;Oostenbroek, Suddendorf, Nielsen,  Redshaw, Kennedy-Costantini, Davis, Clark, Slaughter;Australia;Early Cognitive Development Centre, School of Psychology, University of Queensland;0.09;106;neonatal imitation;Frequency of MMM sounds;;;;;;;obs;long;neonatal imitation at 1,3,6 and 9 weeks of age;
oostenbroek2016comprehensive;Comprehensive Longitudinal Study Challenges the Existence of Neonatal Imitation in Humans;2016;Oostenbroek, Suddendorf, Nielsen,  Redshaw, Kennedy-Costantini, Davis, Clark, Slaughter;Australia;Early Cognitive Development Centre, School of Psychology, University of Queensland;0.09;106;neonatal imitation;Frequency of EEE sounds;;;;;;;obs;long;neonatal imitation at 1,3,6 and 9 weeks of age;
oostenbroek2016comprehensive;Comprehensive Longitudinal Study Challenges the Existence of Neonatal Imitation in Humans;2016;Oostenbroek, Suddendorf, Nielsen,  Redshaw, Kennedy-Costantini, Davis, Clark, Slaughter;Australia;Early Cognitive Development Centre, School of Psychology, University of Queensland;0.09;106;neonatal imitation;Frequency of Click sounds;;;;;;;obs;long;neonatal imitation at 1,3,6 and 9 weeks of age;
doyle1995longitudinal;A Longitudinal Study of White Children's Racial Prejudice as a Social-CognitiveDevelopment;1995;Doyle, Aboud;Canada; Concordia University, Montreal;5.9;47;conservation;Goldschmidt and Bentler Concept Assessment Kit;8.9;prejudice;PRAM II;Pearson (one-tailed);-0,11;;exp;long;prejudices against black people at age 6 and 9 of white children;there is also a crosssectional part and some more longitudinal measures in the study, where they used MANOVAs and ANOVAS
doyle1995longitudinal;A Longitudinal Study of White Children's Racial Prejudice as a Social-CognitiveDevelopment;1995;Doyle, Aboud;Canada; Concordia University, Montreal;5.9;47;conservation;Goldschmidt and Bentler Concept Assessment Kit;8.9;prejudice ;MRA Counter-Bias;Pearson (one-tailed);-0,07;;exp;long;prejudices against black people at age 6 and 9 of white children;there is also a crosssectional part and some more longitudinal measures in the study, where they used MANOVAs and ANOVAS
doyle1995longitudinal;A Longitudinal Study of White Children's Racial Prejudice as a Social-CognitiveDevelopment;1995;Doyle, Aboud;Canada; Concordia University, Montreal;5.9;47;conservation;Goldschmidt and Bentler Concept Assessment Kit;8.9;prejudice ;MRA Summary;Pearson (one-tailed);-0,18;;exp;long;prejudices against black people at age 6 and 9 of white children;there is also a crosssectional part and some more longitudinal measures in the study, where they used MANOVAs and ANOVAS
doyle1995longitudinal;A Longitudinal Study of White Children's Racial Prejudice as a Social-CognitiveDevelopment;1995;Doyle, Aboud;Canada; Concordia University, Montreal;5.9;47;reconciliation;placing photographs on a board;8.9;prejudice;PRAM II;Pearson (one-tailed);-0,21;;exp;long;prejudices against black people at age 6 and 9 of white children;there is also a crosssectional part and some more longitudinal measures in the study, where they used MANOVAs and ANOVAS
doyle1995longitudinal;A Longitudinal Study of White Children's Racial Prejudice as a Social-CognitiveDevelopment;1995;Doyle, Aboud;Canada; Concordia University, Montreal;5.9;47;reconciliation;placing photographs on a board;8.9;prejudice ;MRA Counter-Bias;Pearson (one-tailed);0,34;yes;exp;long;prejudices against black people at age 6 and 9 of white children;there is also a crosssectional part and some more longitudinal measures in the study, where they used MANOVAs and ANOVAS
doyle1995longitudinal;A Longitudinal Study of White Children's Racial Prejudice as a Social-CognitiveDevelopment;1995;Doyle, Aboud;Canada; Concordia University, Montreal;5.9;47;reconciliation;placing photographs on a board;8.9;prejudice ;MRA Summary;Pearson (one-tailed);-0,17;;exp;long;prejudices against black people at age 6 and 9 of white children;there is also a crosssectional part and some more longitudinal measures in the study, where they used MANOVAs and ANOVAS
doyle1995longitudinal;A Longitudinal Study of White Children's Racial Prejudice as a Social-CognitiveDevelopment;1995;Doyle, Aboud;Canada; Concordia University, Montreal;5.9;47;similarity-within;placing/rating photographs on board;8.9;prejudice;PRAM II;Pearson (one-tailed);0,13;;exp;long;prejudices against black people at age 6 and 9 of white children;there is also a crosssectional part and some more longitudinal measures in the study, where they used MANOVAs and ANOVAS
doyle1995longitudinal;A Longitudinal Study of White Children's Racial Prejudice as a Social-CognitiveDevelopment;1995;Doyle, Aboud;Canada; Concordia University, Montreal;5.9;47;similarity-within;placing/rating photographs on board;8.9;prejudice ;MRA Counter-Bias;Pearson (one-tailed);-0,17;;exp;long;prejudices against black people at age 6 and 9 of white children;there is also a crosssectional part and some more longitudinal measures in the study, where they used MANOVAs and ANOVAS
doyle1995longitudinal;A Longitudinal Study of White Children's Racial Prejudice as a Social-CognitiveDevelopment;1995;Doyle, Aboud;Canada; Concordia University, Montreal;5.9;47;similarity-within;placing/rating photographs on board;8.9;prejudice ;MRA Summary;Pearson (one-tailed);0,32;yes;exp;long;prejudices against black people at age 6 and 9 of white children;there is also a crosssectional part and some more longitudinal measures in the study, where they used MANOVAs and ANOVAS
doyle1995longitudinal;A Longitudinal Study of White Children's Racial Prejudice as a Social-CognitiveDevelopment;1995;Doyle, Aboud;Canada; Concordia University, Montreal;5.9;47;similarity-between;placing/rating photographs on board;8.9;prejudice;PRAM II;Pearson (one-tailed);-0,26;yes;exp;long;prejudices against black people at age 6 and 9 of white children;there is also a crosssectional part and some more longitudinal measures in the study, where they used MANOVAs and ANOVAS
